Node id 	 x 	 y 	 fix_dem 	 flex_dem 	 veh_spa 	 store_spa 	 trans_cap 	 flex_store 	 fixed_arrival
o	0.0	25.0	0	0	0	350	0	false	0.0
1	4.427803532154517	33.445122949119124	20	0	20	350	20	false	9.53548875229259
2	15.372141948583185	42.687070153131216	20	10	40	350	40	true	23.86001776706523
3	16.15749711842479	42.80753007241117	20	0	60	15	15	false	24.65455746711166
4	23.536745800410014	46.073954295458165	20	10	80	15	15	true	32.724429728522544
5	25.02568896111531	44.57582234698321	20	0	100	350	100	false	34.83662078779073
6	30.68316398555911	48.91589097386588	20	10	120	350	120	true	41.96706392537037
7	35.13879896799407	45.13908094331047	20	10	140	350	140	true	47.808037911239694
8	38.15446649573985	49.20252813509307	20	10	160	350	160	true	52.86826060577659
9	49.938502911734325	45.732240807395655	20	10	180	350	180	true	65.15265755435576
10	46.03128480078665	37.70466924421675	20	0	200	350	200	false	74.08060572672302
11	42.07908059246906	35.996792455476054	20	10	220	15	15	true	78.38603964559374
12	38.39665936723549	39.437857476676115	20	10	240	350	240	true	83.4259954549414
13	36.45432850801763	40.04843714038388	20	10	260	15	15	true	85.46203491732996
14	34.656063055569064	32.78035009599505	20	10	280	15	15	true	92.94928060064254
15	32.06022535074855	29.067698314397283	20	10	300	15	15	true	97.47941930063494
16	23.5726702172632	31.40696067237928	20	0	320	15	15	false	106.28343773106914
17	22.01542938574971	32.096831527097294	20	10	340	350	340	true	107.98664670342755
18	18.598418157428213	23.204645627689917	20	0	360	15	15	false	117.51276531512322
19	25.95766921104748	21.585339014042432	20	10	380	15	15	true	125.04806424610126
20	25.47729360283086	19.125682033595304	20	10	400	350	350	true	127.5541913750458
21	28.540597206008872	19.19326347807249	20	0	420	350	350	false	130.61824036565955
22	30.850878396854142	17.601470305595075	20	10	440	350	350	true	133.4238070971274
23	29.11529695067291	22.447543687328324	20	0	460	350	350	false	138.57129873650595
24	32.802483854313465	24.20729911983002	20	0	480	350	350	false	142.65689372923316
25	36.315937194885116	20.438531734470622	20	10	500	350	350	true	147.80936517324164
26	38.543466902893485	22.80238379167794	20	0	520	15	15	false	151.05739305927082
27	46.18761768086591	25.875098279226066	20	10	540	15	15	true	159.29599824694455
28	46.098580479859855	3.5125604724181136	20	10	560	350	350	true	181.65871330536442
29	46.36570844654788	2.644770564881677	20	10	580	15	15	true	182.5666872445328
30	38.97259957335599	8.256323448069425	20	10	600	15	15	true	191.84825955592925
31	32.146589202901474	3.424787180770128	20	10	620	15	15	true	200.2111633745667
32	26.700864799636616	2.0171262168349524	20	10	640	15	15	true	205.8358788043197
33	25.834354492999374	6.139925262365592	20	10	660	350	350	true	210.04875336705436
34	25.26363397571871	9.380267375389451	20	0	680	15	15	false	213.338972040377
35	25.882668225372974	11.591280872545356	20	10	700	15	15	true	215.63500864436455
36	23.999761605913772	12.931324035739722	20	10	720	350	350	true	217.9460804772653
37	21.823080802987526	11.255246005841363	20	0	740	15	15	false	220.6932930427825
38	19.97572899697378	7.0614985286571565	20	10	760	350	350	true	225.2758934614936
39	19.861350510326258	13.846985240526877	20	10	780	15	15	true	232.06234410635713
40	16.292317469028568	14.199697596397364	20	10	800	15	15	true	235.64876333113529
41	13.886622748580734	10.233492800052518	20	10	820	350	350	true	240.2875290694044
42	12.15823415335906	8.569674287728423	20	0	840	350	350	false	242.68661622456253
43	12.22597751231233	4.386960543307916	20	0	860	350	350	false	246.86987851976306
44	4.957495439761184	1.1367311405097669	20	10	880	15	15	true	254.83196510619322
45	1.027400005089396	9.277666369857068	20	0	900	350	350	false	263.87190296737657
46	2.6033084981715304	10.30821641612047	20	10	920	15	15	true	265.7548583509218
47	4.682386309850839	10.68860926499049	20	10	940	15	15	true	267.8684484877479
48	9.035034685151006	16.139860519091155	20	10	960	15	15	true	274.8442414974592
49	3.015373842369118	14.49494126567622	20	10	980	15	15	true	281.08460014199056
50	0.04024721119028074	14.468876494294186	20	10	1000	350	350	true	284.05984094633845
d	25.0	50.0	0	0	0	350	0	false	0.0
