Node id 	 x 	 y 	 fix_dem 	 flex_dem 	 veh_spa 	 store_spa 	 trans_cap 	 flex_store 	 fixed_arrival
o	0.0	25.0	0	0	0	70	0	false	0.0
1	0.7029756173388246	27.18151455931606	20	0	20	70	20	false	2.2919817824496
2	3.690733617775849	25.64977334423058	20	2	40	70	40	true	5.649500065224391
3	3.9601659292017697	26.04360673909858	20	2	60	3	3	true	6.126677719095112
4	10.79382901109267	19.57703250077784	20	0	80	3	3	false	15.534947140009464
5	11.478720672548803	25.35034041501632	20	2	100	70	70	true	21.34873771591954
6	15.676349871665124	27.388194076037593	20	2	120	70	70	true	26.01488585298203
7	16.62227871274853	24.092805962231644	20	2	140	70	70	true	29.443349677059356
8	18.550079439527046	26.45682951359622	20	2	160	70	70	true	32.49376325452294
9	21.217882755897634	29.920257483161734	20	2	180	70	70	true	36.86554868329304
10	24.145596830211723	30.62007699732487	20	2	200	70	70	true	39.875740878708534
11	19.90216832698405	33.301123933233555	20	2	220	3	3	true	44.89517293169524
12	18.737921124846586	34.43782577687704	20	2	240	70	70	true	46.522306186541755
13	15.805177411552151	35.39905740054049	20	2	260	3	3	true	49.60855826992683
14	8.570902714569867	43.10377395680376	20	2	280	3	3	true	60.17725675194227
15	1.734001227231613	48.137181905387514	20	0	300	3	3	false	68.66715766564168
16	5.140942618103262	46.78916082316724	20	2	320	3	3	true	72.3310914094401
17	18.480068069248347	46.59832086583865	20	0	340	70	70	false	85.6715819435509
18	21.83753120082218	40.338005476280344	20	2	360	3	3	true	92.77539130590137
19	26.987474062019867	46.247033501954434	20	0	380	3	3	false	100.61366430968242
20	30.08002420413588	36.177938435434	20	2	400	70	70	true	111.14697062062429
21	32.856456377932595	36.27780625636354	20	2	420	70	70	true	113.92519832859762
22	33.156657618138816	37.141550469641125	20	2	440	70	70	true	114.8396242964003
23	36.014237736682034	42.32670760572583	20	2	460	70	70	true	120.76006504517768
24	41.482941186931704	40.82273997213196	20	2	480	70	70	true	126.43180517230539
25	39.575353702001884	34.0934918265307	20	2	500	70	70	true	133.4262079786741
26	44.090316853494684	25.3213558718536	20	0	520	3	3	false	143.29207142120546
27	36.46328743029619	23.093997558312314	20	0	540	3	3	false	151.23768045256594
28	41.44642616948478	19.980072814224332	20	2	560	70	70	true	157.11375048327912
29	44.662837408143766	14.743764141573761	20	0	580	3	3	false	163.25901124027288
30	47.412695227491085	10.245124548551921	20	2	600	3	3	true	168.5315320998361
31	49.267828154100464	8.875870120674694	20	0	620	3	3	false	170.83725885373642
32	46.26082411637597	1.864500514523354	20	2	640	3	3	true	178.46624155374002
33	40.92499331739273	4.981952621826114	20	2	660	70	70	true	184.64601484704977
34	37.482952647945474	13.616272530946738	20	2	680	3	3	true	193.94112777068688
35	33.61240950854167	7.925563959110304	20	2	700	3	3	true	200.82337073672335
36	31.57735573979439	5.9147666037207	20	0	720	70	70	false	203.68427091780873
37	28.468089652902062	9.192910773182744	20	2	740	3	3	true	208.2024303655127
38	27.702703502701254	12.823784564427553	20	2	760	70	70	true	211.9130988291278
39	29.8570444676631	14.13470313242658	20	0	780	3	3	false	214.43494190220696
40	27.69938805206934	19.91171677373263	20	2	800	3	3	true	220.60173748983505
41	23.653421644540174	20.68788737979426	20	0	820	70	70	false	224.72148080472354
42	18.102955877696097	13.970919661692388	20	2	840	70	70	true	233.43499476609014
43	16.129796728141	8.239120874091583	20	0	860	70	70	false	239.4969147895658
44	18.849302826329634	6.5147406135668104	20	0	880	3	3	false	242.71703911961467
45	23.23224078344869	3.8013233007905045	20	2	900	70	70	true	247.87191823063455
46	16.94691962177118	3.3764793404065516	20	2	920	3	3	true	254.1715812768701
47	13.343285825816592	1.7255877906175277	20	2	940	3	3	true	258.1353697985386
48	3.2243412683681583	9.139003196554318	20	2	960	3	3	true	270.6793630597651
49	2.4900595294966523	9.340177030590535	20	2	980	3	3	true	271.44070436531797
50	5.849041830147272	17.998648831344262	20	0	1000	70	70	false	280.72789425357433
d	25.0	50.0	0	0	0	70	0	false	0.0
